"Selected population characteristics, Canada, ecozones and ecoregions" 1 2 3 4
"Every 5 years"
"Table: 38-10-0047-01 (formerly CANSIM 153-0057)"
"Geography: Canada, Ecozone, Ecoregion"

"Geography4","Population characteristics","1996","2001","2006","2011","2016"
,"Private occupied dwellings in rural areas 5 6","6,373","5,191","6,079","6,573","6,501"
,"","Number per square kilometre",,,,
,"Private occupied dwelling density 6","0.010","0.010","0.012","0.012","0.013"
,"","Number",,,,
,"Population per private occupied dwelling 6","3.5","3.3","3.3","3.3","3.2"
,"Population per private occupied dwelling in population centres 5 6","2.9","3.1","3.0","2.9","2.9"
,"Population per private occupied dwelling in rural areas 5 6","4.0","3.7","3.6","3.6","3.6"
"Coppermine River Upland (ecoregion)","Total population","394","405","759","394","407"
,"Population in population centres 5","0","0","0","0","0"
,"Population in rural areas 5","394","405","759","394","407"
,"","Number per square kilometre",,,,
,"Total population density","0.004","0.004","0.007","0.004","0.004"
,"","Percent",,,,
,"Population in population centres as a share of total population 5","0.0","0.0","0.0","0.0","0.0"
,"Population in rural areas as a share of total population 5","100.0","100.0","100.0","100.0","100.0"
,"","Number",,,,
,"Private occupied dwellings 6","94","101","235","97","106"
,"Private occupied dwellings in population centres 5 6","0","0","0","0","0"
,"Private occupied dwellings in rural areas 5 6","94","101","235","97","106"
,"","Number per square kilometre",,,,
,"Private occupied dwelling density 6","0.001","0.001","0.002","0.001","0.001"
,"","Number",,,,
,"Population per private occupied dwelling 6","4.2","4.0","3.2","4.1","3.8"
,"Population per private occupied dwelling in population centres 5 6","0.0","0.0","0.0","0.0","0.0"
,"Population per private occupied dwelling in rural areas 5 6","4.2","4.0","3.2","4.1","3.8"
"Tazin Lake Upland (ecoregion)","Total population","21,510","20,208","22,687","23,337","23,959"
,"Population in population centres 5","14,027","16,055","17,863","18,352","18,884"
,"Population in rural areas 5","7,483","4,153","4,824","4,985","5,075"
,"","Number per square kilometre",,,,
,"Total population density","0.250","0.234","0.263","0.271","0.278"
,"","Percent",,,,
,"Population in population centres as a share of total population 5","65.2","79.4","78.7","78.6","78.8"
,"Population in rural areas as a share of total population 5","34.8","20.6","21.3","21.4","21.2"
,"","Number",,,,
,"Private occupied dwellings 6","6,839","6,819","7,747","8,084","8,427"
,"Private occupied dwellings in population centres 5 6","4,757","5,671","6,325","6,625","6,872"
,"Private occupied dwellings in rural areas 5 6","2,082","1,148","1,422","1,459","1,555"
,"","Number per square kilometre",,,,
,"Private occupied dwelling density 6","0.079","0.079","0.090","0.094","0.098"
,"","Number",,,,
,"Population per private occupied dwelling 6","3.1","3.0","2.9","2.9","2.8"
,"Population per private occupied dwelling in population centres 5 6","2.9","2.8","2.8","2.8","2.7"
,"Population per private occupied dwelling in rural areas 5 6","3.6","3.6","3.4","3.4","3.3"
"Kazan River Upland (ecoregion)","Total population","0","0","0","0","0"
,"Population in population centres 5","0","0","0","0","0"
,"Population in rural areas 5","0","0","0","0","0"
,"","Number per square kilometre",,,,
,"Total population density","0.000","0.000","0.000","0.000","0.000"
,"","Percent",,,,
,"Population in population centres as a share of total population 5","0.0","0.0","0.0","0.0","0.0"
,"Population in rural areas as a share of total population 5","0.0","0.0","0.0","0.0","0.0"
,"","Number",,,,
,"Private occupied dwellings 6","0","0","0","0","0"
,"Private occupied dwellings in population centres 5 6","0","0","0","0","0"
,"Private occupied dwellings in rural areas 5 6","0","0","0","0","0"
,"","Number per square kilometre",,,,
,"Private occupied dwelling density 6","0.000","0.000","0.000","0.000","0.000"
,"","Number",,,,
,"Population per private occupied dwelling 6","0.0","0.0","0.0","0.0","0.0"
,"Population per private occupied dwelling in population centres 5 6","0.0","0.0","0.0","0.0","0.0"
,"Population per private occupied dwelling in rural areas 5 6","0.0","0.0","0.0","0.0","0.0"
"Selwyn Lake Upland (ecoregion)","Total population","2,517","2,541","2,384","3,221","3,100"
,"Population in population centres 5","0","0","0","0","0"
,"Population in rural areas 5","2,517","2,541","2,384","3,221","3,100"
,"","Number per square kilometre",,,,
,"Total population density","0.016","0.016","0.015","0.021","0.020"
,"","Percent",,,,
,"Population in population centres as a share of total population 5","0.0","0.0","0.0","0.0","0.0"
,"Population in rural areas as a share of total population 5","100.0","100.0","100.0","100.0","100.0"
,"","Number",,,,
,"Private occupied dwellings 6","512","569","563","739","705"
,"Private occupied dwellings in population centres 5 6","0","0","0","0","0"
,"Private occupied dwellings in rural areas 5 6","512","569","563","739","705"
,"","Number per square kilometre",,,,
,"Private occupied dwelling density 6","0.003","0.004","0.004","0.005","0.005"
,"","Number",,,,
,"Population per private occupied dwelling 6","4.9","4.5","4.2","4.4","4.4"
,"Population per private occupied dwelling in population centres 5 6","0.0","0.0","0.0","0.0","0.0"
,"Population per private occupied dwelling in rural areas 5 6","4.9","4.5","4.2","4.4","4.4"
"La Grande Hills (ecoregion)","Total population","5,926","6,300","6,923","7,663","8,586"
,"Population in population centres 5","0","3,467","2,579","2,659","2,967"
,"Population in rural areas 5","5,926","2,833","4,344","5,004","5,619"
,"","Number per square kilometre",,,,
,"Total population density","0.059","0.062","0.069","0.076","0.085"
,"","Percent",,,,
,"Population in population centres as a share of total population 5","0.0","55.0","37.3","34.7","34.6"
,"Population in rural areas as a share of total population 5","100.0","45.0","62.7","65.3","65.4"
,"","Number",,,,
,"Private occupied dwellings 6","1,322","1,495","1,601","1,792","1,923"
,"Private occupied dwellings in population centres 5 6","0","703","529","564","639"
,"Private occupied dwellings in rural areas 5 6","1,322","792","1,072","1,228","1,284"
,"","Number per square kilometre",,,,
,"Private occupied dwelling density 6","0.013","0.015","0.016","0.018","0.019"
,"","Number",,,,
,"Population per private occupied dwelling 6","4.5","4.2","4.3","4.3","4.5"
,"Population per private occupied dwelling in population centres 5 6","0.0","4.9","4.9","4.7","4.6"
,"Population per private occupied dwelling in rural areas 5 6","4.5","3.6","4.1","4.1","4.4"
"Southern Ungava Peninsula (ecoregion)","Total population","315","348","390","444","442"
,"Population in population centres 5","0","0","0","0","0"
,"Population in rural areas 5","315","348","390","444","442"
,"","Number per square kilometre",,,,
,"Total population density","0.005","0.005","0.006","0.007","0.007"
,"","Percent",,,,
,"Population in population centres as a share of total population 5","0.0","0.0","0.0","0.0","0.0"
,"Population in rural areas as a share of total population 5","100.0","100.0","100.0","100.0","100.0"
,"","Number",,,,
,"Private occupied dwellings 6","76","78","87","94","103"
,"Private occupied dwellings in population centres 5 6","0","0","0","0","0"
,"Private occupied dwellings in rural areas 5 6","76","78","87","94","103"
,"","Number per square kilometre",,,,
,"Private occupied dwelling density 6","0.001","0.001","0.001","0.001","0.002"
,"","Number",,,,
,"Population per private occupied dwelling 6","4.1","4.5","4.5","4.7","4.3"
,"Population per private occupied dwelling in population centres 5 6","0.0","0.0","0.0","0.0","0.0"
,"Population per private occupied dwelling in rural areas 5 6","4.1","4.5","4.5","4.7","4.3"
"New Quebec Central Plateau (ecoregion)","Total population","175","0","5","0","47"
,"Population in population centres 5","0","0","0","0","0"
,"Population in rural areas 5","175","0","5","0","47"
,"","Number per square kilometre",,,,
,"Total population density","0.001","0.000","0s","0.000","0s"
,"","Percent",,,,
,"Population in population centres as a share of total population 5","0.0","0.0","0.0","0.0","0.0"
,"Population in rural areas as a share of total population 5","100.0","0.0","100.0","0.0","100.0"
,"","Number",,,,
,"Private occupied dwellings 6","43","0","1","0","0"
,"Private occupied dwellings in population centres 5 6","0","0","0","0","0"
,"Private occupied dwellings in rural areas 5 6","43","0","1","0","0"
,"","Number per square kilometre",,,,
,"Private occupied dwelling density 6","0s","0.000","0s","0.000","0.000"
,"","Number",,,,
,"Population per private occupied dwelling 6","4.1","0.0","5.0","0.0","0.0"
,"Population per private occupied dwelling in population centres 5 6","0.0","0.0","0.0","0.0","0.0"
,"Population per private occupied dwelling in rural areas 5 6","4.1","0.0","5.0","0.0","0.0"
"Ungava Bay Basin (ecoregion)","Total population","3,129","3,412","3,710","4,038","4,525"
,"Population in population centres 5","0","0","0","0","1,353"
,"Population in rural areas 5","3,129","3,412","3,710","4,038","3,172"
,"","Number per square kilometre",,,,
,"Total population density","0.041","0.045","0.049","0.053","0.059"
,"","Percent",,,,
,"Population in population centres as a share of total population 5","0.0","0.0","0.0","0.0","29.9"
,"Population in rural areas as a share of total population 5","100.0","100.0","100.0","100.0","70.1"
,"","Number",,,,
,"Private occupied dwellings 6","879","1,032","1,164","1,309","1,503"
,"Private occupied dwellings in population centres 5 6","0","0","0","0","439"
,"Private occupied dwellings in rural areas 5 6","879","1,032","1,164","1,309","1,064"
,"","Number per square kilometre",,,,
,"Private occupied dwelling density 6","0.012","0.014","0.015","0.017","0.020"
,"","Number",,,,
,"Population per private occupied dwelling 6","3.6","3.3","3.2","3.1","3.0"
,"Population per private occupied dwelling in population centres 5 6","0.0","0.0","0.0","0.0","3.1"
,"Population per private occupied dwelling in rural areas 5 6","3.6","3.3","3.2","3.1","3.0"
"George Plateau (ecoregion)","Total population","648","710","735","874","942"
,"Population in population centres 5","0","0","0","0","0"
,"Population in rural areas 5","648","710","735","874","942"
,"","Number per square kilometre",,,,
,"Total population density","0.032","0.035","0.036","0.043","0.046"
,"","Percent",,,,
,"Population in population centres as a share of total population 5","0.0","0.0","0.0","0.0","0.0"
,"Population in rural areas as a share of total population 5","100.0","100.0","100.0","100.0","100.0"
,"","Number",,,,
,"Private occupied dwellings 6","137","139","161","185","200"
,"Private occupied dwellings in population centres 5 6","0","0","0","0","0"
,"Private occupied dwellings in rural areas 5 6","137","139","161","185","200"
,"","Number per square kilometre",,,,
,"Private occupied dwelling density 6","0.007","0.007","0.008","0.009","0.010"
,"","Number",,,,
,"Population per private occupied dwelling 6","4.7","5.1","4.6","4.7","4.7"
,"Population per private occupied dwelling in population centres 5 6","0.0","0.0","0.0","0.0","0.0"
,"Population per private occupied dwelling in rural areas 5 6","4.7","5.1","4.6","4.7","4.7"
"Kingurutik-Fraser Rivers (ecoregion)","Total population","0","0","706","957","936"
,"Population in population centres 5","0","0","0","0","0"
,"Population in rural areas 5","0","0","706","957","936"
,"","Number per square kilometre",,,,
,"Total population density","0.000","0.000","0.012","0.016","0.015"
,"","Percent",,,,
,"Population in population centres as a share of total population 5","0.0","0.0","0.0","0.0","0.0"
,"Population in rural areas as a share of total population 5","0.0","0.0","100.0","100.0","100.0"
,"","Number",,,,
,"Private occupied dwellings 6","0","1","164","221","216"
,"Private occupied dwellings in population centres 5 6","0","0","0","0","0"
,"Private occupied dwellings in rural areas 5 6","0","1","164","221","216"
,"","Number per square kilometre",,,,
,"Private occupied dwelling density 6","0.000","0s","0.003","0.004","0.004"
,"","Number",,,,
,"Population per private occupied dwelling 6","0.0","0.0","4.3","4.3","4.3"
,"Population per private occupied dwelling in population centres 5 6","0.0","0.0","0.0","0.0","0.0"
,"Population per private occupied dwelling in rural areas 5 6","0.0","0.0","4.3","4.3","4.3"
"Smallwood Reservoir-Michikamau (ecoregion)","Total population","226","215","229","211","199"
,"Population in population centres 5","0","0","0","0","0"
,"Population in rural areas 5","226","215","229","211","199"
,"","Number per square kilometre",,,,
,"Total population density","0.003","0.003","0.003","0.003","0.003"
,"","Percent",,,,
,"Population in population centres as a share of total population 5","0.0","0.0","0.0","0.0","0.0"
,"Population in rural areas as a share of total population 5","100.0","100.0","100.0","100.0","100.0"
,"","Number",,,,
,"Private occupied dwellings 6","65","70","77","72","87"
,"Private occupied dwellings in population centres 5 6","0","0","0","0","0"
,"Private occupied dwellings in rural areas 5 6","65","70","77","72","87"
,"","Number per square kilometre",,,,
,"Private occupied dwelling density 6","0.001","0.001","0.001","0.001","0.001"
,"","Number",,,,
,"Population per private occupied dwelling 6","3.5","3.1","3.0","2.9","2.3"
